Dataset    Nodes      Nets       Passes     Cut        Time(s)   
--------------------------------------------------
ibm01      12752      14111      1          323        0.35      
ibm02      19601      19584      1          391        0.80      
ibm03      23136      27401      1          1405       1.34      
ibm04      27507      31970      1          948        1.66      
ibm05      29347      28446      1          2613       4.30      
ibm06      32498      34826      1          1291       2.53      
ibm07      45926      48117      1          1594       6.55      
ibm08      51309      50513      1          2856       3.13      
ibm09      53395      60902      1          2042       3.03      
ibm10      69429      75196      1          2878       4.17      
ibm11      70558      81454      1          5106       2.89      
ibm12      71076      77240      1          3329       4.63      
ibm13      84199      99666      1          2744       4.44      
ibm14      147605     152772     1          4536       20.10     
ibm15      161570     186608     1          8203       10.63     
ibm16      183484     190048     1          5288       17.90     
ibm17      185495     189581     1          5029       14.82     
ibm18      210613     201920     1          5738       31.67     
